"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initiërende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001088","2024-02-01","2024-02-01","+3.623,85","+4.853,12","NL00DEMO0800000001","Demo Werkgever B.V.","","","INGBNL2A","cb","OO9DEMO5570828113","","","","","","Salaris februari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001089","2024-02-01","2024-02-01","-66,73","+4.786,39","","Demo Albert Heijn 0921","","","","bc","","864941841452","","","","DEMOSTAD, 0000JW, NLD, 20:12",". Demo Pas: 6xxxx0001 Terminal: DEMO2245. Appr Cd: DEMO4978","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001090","2024-02-01","2024-02-01","-28,55","+4.757,84","","Demo Apotheek Centrum","","","","bc","","690328426008","","","","DEMOSTAD, 0000BD, NLD, 16:55",". Demo Pas Terminal: DEMO3434","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001091","2024-02-02","2024-02-02","-160,30","+4.597,54","NL00DEMO0700000001","Demo Zorgverzekering NV","Demo Zorgverzekeraar NV","Demo Zorgverzekeraar NV","INGBNL2A","ei","","DEMO-REF-66390708","DEMO-ZV-001","NL00ZZZ700000000001","DEMO-7381","Premie Demo Zorgverzekering Relatienr DEMO-900952 Periode 01-02-2024 - 01-03-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001092","2024-02-02","2024-02-02","-15,52","+4.582,02","NL00DEMO0300000004","Demo Tandarts Verzekering NV","","","ABNANL2A","ei","","DEMO-REF-88393811","DEMO-TV-001","NL00ZZZ300000000004","DEMO-1320","Aanvullend Demo Tandarts Periode 02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001093","2024-02-02","2024-02-02","-52,56","+4.529,46","NL00DEMO0300000002","Demo Autoschade NV","","","ABNANL2A","ei","","DEMO-REF-87267850","DEMO-AI-001","NL00ZZZ300000000002","DEMO-7232","Autoverzekering demo Premie periode 02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001094","2024-02-02","2024-02-02","-14,38","+4.515,08","NL00DEMO0300000003","Demo Rechtsbijstand NV","","","ABNANL2A","ei","","DEMO-REF-57212267","DEMO-RI-001","NL00ZZZ300000000003","DEMO-5892","Rechtsbijstandverzekering demo Periode 02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001095","2024-02-02","2024-02-02","-329,25","+4.185,83","NL00DEMO0600000001","Demo Kinderopvang BV","Demo Kinderopvang BV","Demo Kinderopvang BV","RABONL2U","ei","","DEMO-REF-82238741","DEMO-KO-001","NL00ZZZ600000000001","DEMO-9947","DEMO-KO-7865 Bijdragen FEB/24"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001096","2024-02-02","2024-02-02","-136,99","+4.048,84","NL00DEMO0400000001","Demo Greenchoice BV","","","INGBNL2A","ei","","DEMO-REF-75529051","DEMO-GC-001","NL00ZZZ400000000001","DEMO-4595","Demo Energie Klantnr DEMO-4700025 Nota februari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001097","2024-02-02","2024-02-02","-33,46","+4.015,38","NL00DEMO0400000002","Demo Vitens NV","","","RABONL2U","ei","","DEMO-REF-13895645","DEMO-VT-001","NL00ZZZ400000000002","DEMO-7371","Factuurnr DEMO-73654 Termijnfactuur FEB"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001098","2024-02-02","2024-02-02","-25,36","+3.990,02","NL00DEMO0500000001","Demo KPN B.V.","","","INGBNL2A","ei","","DEMO-REF-96268397","DEMO-KPN-001","NL00ZZZ500000000001","DEMO-8022","Factuur 2024-02, klantnr DEMO-1116402431, kpn.com"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001099","2024-02-02","2024-02-02","-39,90","+3.950,12","NL00DEMO0500000002","Demo Ziggo BV","","","RABONL2U","ei","","DEMO-REF-34391257","DEMO-ZG-001","NL00ZZZ500000000002","DEMO-1823","Demo Internet Periode 02-2024 Klantnr DEMO-584125"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001100","2024-02-02","2024-02-02","-886,71","+3.063,41","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","tb","OO9DEMO2405969000","","","","","","Huur demo woning februari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001101","2024-02-02","2024-02-02","-31,64","+3.031,77","NL00DEMO0900000004","Demo Fitness Club","","","RABONL2U","ei","","DEMO-REF-55298556","DEMO-GYM-001","NL00ZZZ900000000004","DEMO-7211","Lidmaatschap Demo Fitness februari 2024"," ","","","","",""
