"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initiërende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001000","2024-01-01","2024-01-01","+3.583,66","+4.396,09","NL00DEMO0800000001","Demo Werkgever B.V.","","","INGBNL2A","cb","OO9DEMO9697354961","","","","","","Salaris januari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001001","2024-01-01","2024-01-01","-22,74","+4.373,35","","Demo Burger Demo","","","","bc","","875463562649","","","","DEMOSTAD, 0000SP, NLD, 15:10",". Demo Pas Terminal: DEMO8239","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001002","2024-01-02","2024-01-02","-179,85","+4.193,50","NL00DEMO0700000001","Demo Zorgverzekering NV","Demo Zorgverzekeraar NV","Demo Zorgverzekeraar NV","INGBNL2A","ei","","DEMO-REF-13999315","DEMO-ZV-001","NL00ZZZ700000000001","DEMO-2535","Premie Demo Zorgverzekering Relatienr DEMO-900132 Periode 01-01-2024 - 01-02-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001003","2024-01-02","2024-01-02","-12,09","+4.181,41","NL00DEMO0300000004","Demo Tandarts Verzekering NV","","","ABNANL2A","ei","","DEMO-REF-77827638","DEMO-TV-001","NL00ZZZ300000000004","DEMO-1434","Aanvullend Demo Tandarts Periode 01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001004","2024-01-02","2024-01-02","-47,54","+4.133,87","NL00DEMO0300000002","Demo Autoschade NV","","","ABNANL2A","ei","","DEMO-REF-97226012","DEMO-AI-001","NL00ZZZ300000000002","DEMO-9928","Autoverzekering demo Premie periode 01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001005","2024-01-02","2024-01-02","-14,10","+4.119,77","NL00DEMO0300000003","Demo Rechtsbijstand NV","","","ABNANL2A","ei","","DEMO-REF-70291817","DEMO-RI-001","NL00ZZZ300000000003","DEMO-5557","Rechtsbijstandverzekering demo Periode 01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001006","2024-01-02","2024-01-02","-337,37","+3.782,40","NL00DEMO0600000001","Demo Kinderopvang BV","Demo Kinderopvang BV","Demo Kinderopvang BV","RABONL2U","ei","","DEMO-REF-31429110","DEMO-KO-001","NL00ZZZ600000000001","DEMO-7924","DEMO-KO-1106 Bijdragen JAN/24"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001007","2024-01-02","2024-01-02","-107,12","+3.675,28","NL00DEMO0400000001","Demo Greenchoice BV","","","INGBNL2A","ei","","DEMO-REF-38898923","DEMO-GC-001","NL00ZZZ400000000001","DEMO-6514","Demo Energie Klantnr DEMO-3608513 Nota januari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001008","2024-01-02","2024-01-02","-30,04","+3.645,24","NL00DEMO0400000002","Demo Vitens NV","","","RABONL2U","ei","","DEMO-REF-22981052","DEMO-VT-001","NL00ZZZ400000000002","DEMO-6881","Factuurnr DEMO-59797 Termijnfactuur JAN"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001009","2024-01-02","2024-01-02","-30,47","+3.614,77","NL00DEMO0500000001","Demo KPN B.V.","","","INGBNL2A","ei","","DEMO-REF-15831819","DEMO-KPN-001","NL00ZZZ500000000001","DEMO-8527","Factuur 2024-01, klantnr DEMO-7887950851, kpn.com"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001010","2024-01-02","2024-01-02","-45,51","+3.569,26","NL00DEMO0500000002","Demo Ziggo BV","","","RABONL2U","ei","","DEMO-REF-20576383","DEMO-ZG-001","NL00ZZZ500000000002","DEMO-5803","Demo Internet Periode 01-2024 Klantnr DEMO-496922"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001011","2024-01-02","2024-01-02","-912,32","+2.656,94","NL00DEMO0200000001","D. Demo-Partner","","","RABONL2U","tb","OO9DEMO8995970241","","","","","","Huur demo woning januari 2024"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001012","2024-01-02","2024-01-02","-32,62","+2.624,32","NL00DEMO0900000004","Demo Fitness Club","","","RABONL2U","ei","","DEMO-REF-19335534","DEMO-GYM-001","NL00ZZZ900000000004","DEMO-1750","Lidmaatschap Demo Fitness januari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001013","2024-01-02","2024-01-02","-15,98","+2.608,34","NL00DEMO0900000001","Demo Postcode Loterij","","","ABNANL2A","ei","","DEMO-REF-48840994","DEMO-LOT-001","NL00ZZZ900000000001","DEMO-2307","Demo Loterij trekking januari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001014","2024-01-02","2024-01-02","-31,36","+2.576,98","","Demo Albert Heijn 4104","","","","bc","","446680801999","","","","DEMOSTAD, 0000JW, NLD, 15:17",". Demo Pas: 6xxxx0001 Terminal: DEMO2084. Appr Cd: DEMO4456","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001015","2024-01-02","2024-01-02","-14,13","+2.562,85","","Demo Apotheek Centrum","","","","bc","","848226581356","","","","DEMOSTAD, 0000BD, NLD, 09:57",". Demo Pas Terminal: DEMO6862","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001016","2024-01-02","2024-01-02","-25,47","+2.537,38","NL00DEMO0600000001","Demo Muziekschool BV","","","RABONL2U","ei","","DEMO-REF-61410126","DEMO-MZ-001","NL00ZZZ600000000003","DEMO-3503","Lesgeld Demo Muziekschool januari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001017","2024-01-03","2024-01-03","-9,97","+2.527,41","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Debetrente                         Periode 01-12-2023 t/m 31-12-2023"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001018","2024-01-03","2024-01-03","-5,05","+2.522,36","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Kosten                             Demo DirectPakket                  Periode 01-01-2024 t/m 31-01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001019","2024-01-03","2024-01-03","-1,40","+2.520,96","NL00DEMO0100000001","Demo Rabobank","","","","db","","","","","","Kosten                             (Extra) Demo Wereldpas             Periode 01-01-2024 t/m 31-01-2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001020","2024-01-03","2024-01-03","-6,58","+2.514,38","","Demo Parking Demostad","","","","bc","","334237356171","","","","DEMOSTAD, 0000AB, NLD, 18:06",". Demo Pas Terminal: DEMO2200","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001021","2024-01-04","2024-01-04","-17,33","+2.497,05","NL00DEMO0900000005","Demo Netflix BV","","","INGBNL2A","ei","","DEMO-REF-61019678","DEMO-NF-001","NL00ZZZ900000000005","DEMO-5554","Demo Netflix abonnement maandelijks"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001022","2024-01-05","2024-01-05","-6,07","+2.490,98","NL00DEMO0900000005","Demo Videoland Plus","","","INGBNL2A","ei","","DEMO-REF-99949389","DEMO-VL-001","NL00ZZZ900000000005","DEMO-5374","Demo Videoland abonnement maandelijks"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001023","2024-01-05","2024-01-05","-82,66","+2.408,32","","Demo Geldautomaat","","","","ba","","173812556182","","","","DEMOSTAD, 0000NH, NLD, 05-01-2024 15:10",". Demo Shell Station Terminal: DEMO17634247 Appr Cd: DEMO9320","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001024","2024-01-05","2024-01-05","-12,11","+2.396,21","","Demo Apotheek Centrum","","","","bc","","782787430916","","","","DEMOSTAD, 0000BD, NLD, 10:22",". Demo Pas Terminal: DEMO7658","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001025","2024-01-06","2024-01-06","-10,91","+2.385,30","NL00DEMO0900000005","Demo Spotify Premium","","","INGBNL2A","ei","","DEMO-REF-58966946","DEMO-SP-001","NL00ZZZ900000000005","DEMO-3664","Demo Spotify maandelijks lidmaatschap"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001026","2024-01-06","2024-01-06","-5,29","+2.380,01","NL00DEMO0500000001","Demo KPN Mobiel B.V.","","","INGBNL2A","ei","","DEMO-REF-32969840","DEMO-MOB-001","NL00ZZZ500000000001","DEMO-9751","Mobiel abonnement DEMO-765822 januari 2024"," ","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001027","2024-01-06","2024-01-06","-29,69","+2.350,32","","Demo Albert Heijn 0921","","","","bc","","371182647325","","","","DEMOSTAD, 0000JW, NLD, 19:29",". Demo Pas: 6xxxx0001 Terminal: DEMO3340. Appr Cd: DEMO5339","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001028","2024-01-06","2024-01-06","-6,37","+2.343,95","","Demo Bakkerij Centraal","","","","bc","","813181846360","","","","DEMOSTAD, 0000ED, NLD, 07:28",". Demo Pas Terminal: DEMO2604","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001029","2024-01-06","2024-01-06","+44,50","+2.388,45","NL00DEMO0900000002","Demo Tikkie Service","","","ABNANL2A","cb","OO9DEMO2333241445","","","","","","Tikkie ID DEMO764926227, Demo terugbetaling"," ","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001030","2024-01-07","2024-01-07","-128,47","+2.259,98","","Demo Jumbo Online","","","","bc","","744335435865","","","","Demostad, 0000CE, NLD, 21:04",". Demo Pas Terminal: DEMO55377076","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001031","2024-01-08","2024-01-08","-83,99","+2.175,99","","Demo Albert Heijn 5631","","","","bc","","254608246768","","","","DEMOSTAD, 0000HK, NLD, 18:27",". Demo Pas: 6xxxx0001 Terminal: DEMO7543. Appr Cd: DEMO6930","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001032","2024-01-08","2024-01-08","-10,20","+2.165,79","","Demo Drogisterij 007","","","","bc","","619083705463","","","","DEMOSTAD, 0000BD, NLD, 11:24",". Demo Pas Terminal: DEMO1634","","","","",""
"NL00DEMO0100000001","EUR","DEMONL2U","000000000000001033","2024-01-09","2024-01-09","-59,97","+2.105,82","","Demo Albert Heijn 4104","","","","bc","","171281034036","","","","DEMOSTAD, 0000AB, NLD, 10:09",". Demo Pas: 6xxxx0001 Terminal: DEMO3621. Appr Cd: DEMO7916","","","","",""
